,Beta,Category
Kris Gebhardt,4946.95688990764,Artist
Tullio Mesi,2809.341352375386,Artist
M C Photography ,2685.283224936108,Artist
GABRIELE  KOCH,1978.738865408813,Artist
Eduard Zentsik,1795.689194828486,Artist
Newel Hunter,1719.145483169751,Artist
Luca Brandi,1242.1472578248972,Artist
Aleksandr Ilichev,1239.890566296253,Artist
Nestor Toro,898.451548175328,Artist
Stephane Villafane,892.4767367759206,Artist
Muriel napoli,812.0067827411478,Artist
Photorealism,777.3537272337684,Styles
Brad Bealmear,678.0334732237512,Artist
People,636.6059981848496,Subjects
Documentary,631.9218957129729,Styles
Color,611.717081948082,Mediums
Nazar Symotiuk,598.5516888658765,Artist
Wood,564.3211432059052,Materials
Other,539.8248069195275,Materials
Czar Catstick,510.17924123674027,Artist
